国军ipv6频道,#genre#
CCTV1,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000501
CCTV2,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000502
CCTV3,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000003
CCTV4,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000503
CCTV5,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000005
CCTV5+,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000507
CCTV6,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000006
CCTV7,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000504
CCTV8,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000008
CCTV9,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000505
CCTV10,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000506
CCTV11,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000508
CCTV12,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000509
CCTV13,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000510
CCTV14,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000511
CCTV15,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000512
CCTV16,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000016
CCTV17,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000513
浙江卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000531
湖南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000523
东方卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000518
北京卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000516
山东卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000527
安徽卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000514
重庆卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000517
广东卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000520
江苏卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000524
天津卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000530
湖北卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000522
黑龙江卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000521
辽宁卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000526
四川卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000025
东南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000519
海南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000037
广西卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000034
河南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000027
云南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000035
贵州卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000036
甘肃卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000023
青海卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000042
内蒙古卫视.576,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000044
陕西卫视.576,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000026
山西卫视.576,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000053
宁夏卫视.576,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000047
西藏卫视,http://php.jdshipin.com/xztv.php?id=ws
西藏卫视.576,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000043
新疆卫视.576,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000045
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
兵团卫视.576,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000059
安多卫视.720,http://stream.qhbtv.com/adws/sd/live.m3u8
西藏藏语卫视,http://php.jdshipin.com/xztv.php?id=zy
内蒙古蒙古语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
湖南经视,http://php.jdshipin.com/TVOD/iptv.php?id=hnjs
湖南都市,http://php.jdshipin.com/TVOD/iptv.php?id=hnds
湖南电视剧,http://php.jdshipin.com/TVOD/iptv.php?id=hndsj
湖南电影,http://php.jdshipin.com/TVOD/iptv.php?id=hndy
湖南娱乐,http://php.jdshipin.com/TVOD/iptv.php?id=hnyl
湖南国际,http://php.jdshipin.com/TVOD/iptv.php?id=hngj

CCTV1,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
湖南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
浙江卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
广东卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
江苏卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
东方卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
上海纪实,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
山东卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
安徽卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
重庆卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
天津卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
湖北卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
黑龙江卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
四川卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
东南卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
海南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
云南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
贵州卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
陕西卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
兵团卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
CETV-1,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
都市,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
影视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
少儿,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
